,ticker,figi,type,name
0,APA,BBG00YTS96G2,shares,APA Corporation
1,CNX,BBG000CKVSG8,shares,CNX Resources Corporation
2,SLM,BBG000BBCQD7,shares,SLM Corp
3,SWX,BBG00FWP4JW4,shares,Southwest Gas Holdings
4,SLDB,BBG00JN4FXG8,shares,Solid Biosciences
5,ACLS,BBG000DW34S2,shares,Axcelis Technologies
6,LPL,BBG000FJ0RK9,shares,LG Display
7,AMPH,BBG000BW90S6,shares,Amphastar Pharmaceuticals
8,CAG,BBG000BDXGP9,shares,Conagra Brands
9,DSKY,BBG000BN56Q9,shares,Детский Мир
10,WW,BBG000DY6735,shares,"WW International, Inc."
11,MLKN,BBG000BP46T2,shares,MillerKnoll
12,RELY,BBG012C7JST2,shares,Remitly Global
13,MDT,BBG000BNWG87,shares,Medtronic
14,RVNC,BBG001J2MJH8,shares,Revance Therapeutics
15,AJG,BBG000BBHXQ3,shares,Arthur J. Gallagher & Co
16,RIO,BBG000FD28T3,shares,Rio Tinto
17,GWRE,BBG001C7PM75,shares,Guidewire Software Inc
18,MAR,BBG000BGD7W6,shares,Marriott International
19,ENPG,BBG000RMWQD4,shares,Эн+
20,PAYC,BBG0064N0ZZ5,shares,Paycom Software Inc
21,TTCF,BBG00LN7Q496,shares,"Tattooed Chef, Inc."
22,NCNO,BBG014GJ8XH2,shares,nCino
23,CHCO,BBG000BFJFX3,shares,City Holding Company
24,DNLI,BBG008P7F869,shares,Denali Therapeutics Inc
25,POLY,BBG004PYF2N3,shares,Polymetal
26,MTD,BBG000BZCKH3,shares,Mettler Toledo
27,THS,BBG000GQGJT4,shares,TreeHouse Foods Inc
28,HUBB,BBG000BLK267,shares,Hubbell
29,NWSA,BBG0035LY913,shares,News Corp (A)
30,ALEC,BBG00N0PL198,shares,Alector
31,CR,BBG016G0L0Q5,shares,Crane Company
32,AVIR,BBG00TZNCJ75,shares,Atea Pharmaceuticals
33,APH,BBG000B9YJ35,shares,Amphenol
34,NKNCP,BBG000GQSVC2,shares,Нижнекамскнефтехим (привилегированные)
35,AVT,BBG000BCPB71,shares,Avnet
36,DPZ,BBG000P458P3,shares,Domino's Pizza Inc
37,ZIM,BBG00YQ7XR05,shares,ZIM Integrated Shipping Services
38,GTN,BBG000DSQLQ0,shares,Gray Television Inc
39,C,BBG000FY4S11,shares,Citigroup
40,GVA,BBG000DVB833,shares,Granite Construction Inc
41,R,BBG000BRVP70,shares,Ryder System
42,IP,BBG000BM5SR2,shares,International Paper
43,KEX,BBG000BMQCP6,shares,Kirby Corp
44,EPC,BBG000BRW644,shares,Edgewell Personal Care Co
45,GILD,BBG000CKGBP2,shares,GILEAD
46,WGO,BBG000BWS3F3,shares,Winnebago Industries Inc
47,BCRX,BBG000BLYWX6,shares,BioCryst Pharmaceuticals
48,MLAB,BBG000BP3PW7,shares,Mesa Laboratories Inc
49,WCN,BBG000FLHZZ2,shares,Waste Connections
50,AMAT,BBG000BBPFB9,shares,Applied Materials
51,INO,BBG000BK6YX5,shares,Inovio Pharmaceuticals
52,HLT,BBG0058KMH30,shares,Hilton
53,SNA,BBG000BT7JW9,shares,Snap-on
54,VNT,BBG00RRGSJR4,shares,Vontier Corporation
55,ETD,BBG000BBVDT8,shares,Ethan Allen Interiors Inc
56,OGN,BBG00ZQRGW24,shares,Organon & Co.
57,BMY,BBG000DQLV23,shares,Bristol-Myers Squibb
58,AVTR,BBG00G2HHYD7,shares,Avantor Inc
